title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Кремниевая долина,Silicon Valley,2014,Майк Джадж...,679783,series,like,watched,10,07/18/2025
Остановись и гори,Halt and Catch Fire,2014,Хуан Хосе Кампанелья...,676827,series,like,watched,10,07/18/2025
Мистер Робот,Mr. Robot,2015,Сэм Эсмейл...,1447775,series,like,watched,10,07/18/2025
Рик и Морти,Rick and Morty,2013,Уэсли Арчер...,625877,series,like,watched,10,07/18/2025
Теория большого взрыва,The Big Bang Theory,2007,Марк Сендроуски...,400082,series,like,watched,10,07/18/2025
Игра престолов,Game of Thrones,2011,Дэвид Наттер...,406384,series,like,watched,10,07/18/2025
Клиника,Scrubs,2001,Майкл Спиллер...,228910,series,like,watched,10,07/18/2025
Как я встретил вашу маму,How I Met Your Mother,2005,Памела Фрайман...,347556,series,like,watched,10,07/18/2025
Шерлок,Sherlock,2010,Пол Макгиган...,493540,series,like,watched,10,07/18/2025
Бесстыдники,Shameless,2011,Иэн Б. МакДональд...,518747,series,like,watched,10,07/18/2025
Человек-паук,Spider-Man,1994,Боб Ричардсон...,101994,series,like,watched,10,07/18/2025
Американская семейка,Modern Family,2009,Гейл Манкусо...,487740,series,like,watched,10,07/18/2025
Ковбой Бибоп,Kaubôi bibappu: Cowboy Bebop,1998,Синъитиро Ватанабэ...,174396,series,like,watched,10,07/18/2025
Чернобыль,Chernobyl,2019,Йохан Ренк,1974495,series,like,watched,10,07/18/2025
Футурама,Futurama,1999,Питер Аванзино...,127171,series,like,watched,10,07/18/2025
Чёрное зеркало,Black Mirror,2011,Тоби Хэйнс...,610681,series,like,watched,10,07/18/2025
Настоящий детектив,True Detective,2014,Кэри Дзёдзи Фукунага...,656648,series,like,watched,10,07/18/2025
Пацаны,The Boys,2019,Эрик Крипке...,440746,series,like,watched,10,07/18/2025
Дрянь,Fleabag,2016,Гарри Брэдбир...,1589376,series,like,watched,10,07/18/2025
Очень странные дела,Stranger Things,2016,Мэтт Даффер...,1545339,series,like,watched,10,07/18/2025
Разделение,Severance,2022,Бен Стиллер...,2389884,series,like,watched,10,07/18/2025
Король шаманов,Shaman King,2001,Сэидзи Мидзусима...,287248,series,like,watched,10,07/18/2025
Ход королевы,The Queen’s Gambit,2020,Скотт Фрэнк,2109552,series,like,watched,10,07/18/2025
Нарко,Narcos,2015,Андрес Байс...,756941,series,like,watched,10,07/18/2025
Форс-мажоры,Suits,2011,Майкл Смит...,528789,series,like,watched,10,07/18/2025
Неуязвимый,Invincible,2021,Дэн Дункан...,1681177,series,like,watched,10,07/18/2025
Больница Никербокер,The Knick,2014,Стивен Содерберг,754084,series,like,watched,10,07/18/2025
Мандалорец,The Mandalorian,2019,Дэйв Филони...,1700799,series,like,watched,10,07/18/2025
Миротворец,Peacemaker,2022,Джеймс Ганн...,2610611,series,like,watched,10,07/18/2025
Тьма,Dark,2017,Баран бо Одар,1614054,series,like,watched,10,07/18/2025
Жиза,,2022,Арсений Робак,8591493,series,like,watched,10,07/18/2025
Игра в кальмара,Ojing-eo geim,2021,Хван Дон-хёк,2109768,series,like,watched,10,07/18/2025
Пищеблок,,2021,Святослав Подгаевский...,2640069,series,like,watched,10,07/18/2025
Мир! Дружба! Жвачка!,,2020,Илья Аксенов...,2119373,series,like,watched,10,07/18/2025
Викинги,Vikings,2013,Киаран Доннелли...,647748,series,like,watched,10,07/18/2025
Сексуальное просвещение,Sex Education,2019,Бен Тэйлор...,1672104,series,like,watched,10,07/18/2025
Хулиганы и ботаны,Freaks and Geeks,1999,Джейк Кэздан...,159389,series,like,watched,10,07/18/2025
Что знает Оливия,Olive Kitteridge,2014,Лиза Холоденко,711024,series,like,watched,10,07/18/2025
Однажды ночью,The Night Of,2016,Стивен Зеллиан...,664811,series,like,watched,10,07/18/2025
11.22.63,,2016,Джеймс Стронг...,1482719,series,like,watched,10,07/18/2025
Полуночная месса,Midnight Mass,2021,Майк Флэнаган,2108488,series,like,watched,10,07/18/2025
Острые предметы,Sharp Objects,2018,Жан-Марк Валле,685701,series,like,watched,10,07/18/2025
Чужак,The Outsider,2020,Эндрю Бернштейн...,1676925,series,like,watched,10,07/18/2025
Озарк,Ozark,2017,Джейсон Бейтман...,1622750,series,like,watched,10,07/18/2025
Шершни,Yellowjackets,2021,Эва Сёрхёуг...,2307676,series,like,watched,10,07/18/2025
Чики,,2020,Эдуард Оганесян,2178066,series,like,watched,10,07/18/2025
