title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Техасская резня бензопилой,Texas Chainsaw Massacre,2021,Дэвид Блу Гарсиа,2350966,film,dislike,watched,4,07/18/2025
Техасская резня бензопилой: Кожаное лицо,Leatherface,2017,Александр Бустильо...,683311,film,dislike,watched,4,07/18/2025
Дело Фриды,Friedas Fall,2024,Мария Брендле,2641186,film,dislike,watched,4,07/18/2025
Техасская резня бензопилой 3D,Texas Chainsaw 3D,2013,Джон Льюсенхоп,515714,film,dislike,watched,4,07/18/2025
Запах женщины,Scent of a Woman,1992,Мартин Брест,96101,film,dislike,watched,4,07/18/2025
Маргиналы,Lowlifes,2024,Теш Гуттиконда...,10956366,film,dislike,watched,4,07/18/2025
У холмов есть глаза,The Hills Have Eyes,2006,Александр Ажа,343727,film,dislike,watched,4,07/18/2025
Новая реальность,Sight: Extended,2023,Даниэль Лазо...,2450020,film,dislike,watched,4,07/18/2025
Черное зеркало: Бандерснэтч,Black Mirror: Bandersnatch,2018,Дэвид Слэйд,2011358,film,dislike,watched,4,07/18/2025
Лимб,Haunter,2013,Винченцо Натали,654940,film,dislike,watched,4,07/18/2025
Стеклянный дом,The Glass House,2001,Дэниэл Сакхайм,180004,film,dislike,watched,4,07/18/2025
Восставший из ада,Hellraiser,1987,Клайв Баркер,85471,film,dislike,watched,4,07/18/2025
В порядке ли я?,Am I OK?,2022,Стефани Аллинн...,2511131,film,dislike,watched,4,07/18/2025
Ты встретишь таинственного незнакомца,You Will Meet a Tall Dark Stranger,2010,Вуди Аллен,439313,film,dislike,watched,4,07/18/2025
Божья земля,God’s Own Country,2017,Френсис Ли,1571165,film,dislike,watched,4,07/18/2025
Дом дьявола,The House of the Devil,2008,Тай Уэст,437651,film,dislike,watched,4,07/18/2025
Треугольник,Triangle,2009,Кристофер Смит,440197,film,dislike,watched,4,07/18/2025
Дети кукурузы 3: Городская жатва,Children of the Corn III: Urban Harvest,1994,Джеймс Д.Р. Хикокс,99579,film,dislike,watched,4,07/18/2025
Дети кукурузы 2: Последняя жертва,Children of the Corn II: The Final Sacrifice,1992,Дэвид Прайс,97110,film,dislike,watched,4,07/18/2025
Дети кукурузы,Children of the Corn,1984,Фриц Кирш,80065,film,dislike,watched,4,07/18/2025
Поворот не туда,Wrong Turn,2003,Роб Шмидт,236015,film,dislike,watched,4,07/18/2025
Слоеный торт,Layer Cake,2004,Мэттью Вон,293198,film,dislike,watched,4,07/18/2025
Смерть девушки,The Dead Girl,2006,Карен Монкрифф,377664,film,dislike,watched,4,07/18/2025
Бегущий человек,The Running Man,2025,Эдгар Райт,2721539,film,dislike,watched,4,07/18/2025
Дожить до рассвета,Until Dawn,2025,Дэвид Ф. Сандберг,10888091,film,dislike,watched,4,07/18/2025
Убийства в Черри-Фолс,Cherry Falls,1999,Джеффри Райт,146366,film,dislike,watched,4,07/18/2025
Наблюдение,Surveillance,2008,Дженнифер Линч,314318,film,dislike,watched,4,07/18/2025
Кенгуру Джекпот,Kangaroo Jack,2003,Дэвид МакНэлли,208526,film,dislike,watched,4,07/18/2025
Слизняк,Slither,2006,Джеймс Ганн,334237,film,dislike,watched,4,07/18/2025
Кошелек или жизнь,Trick 'r Treat,2007,Майкл Догерти,394502,film,dislike,watched,4,07/18/2025
Мы все идем на всемирную выставку,We’re All Going to the World’s Fair,2021,Джейн Шёнбрун...,2679735,film,dislike,watched,4,07/18/2025
Хищник 2,Predator 2,1990,Стивен Хопкинс,91802,film,dislike,watched,4,07/18/2025
Моя старая задница,My Old Ass,2024,Меган Парк,9765353,film,dislike,watched,4,07/18/2025
Погребальные байки,The Mortuary Collection,2019,Райан Спинделл,2114070,film,dislike,watched,4,07/18/2025
Точка замерзания,Dead of Winter,2025,Брайан Кирк,2890227,film,dislike,watched,4,07/18/2025
Чёрный телефон 2,Black Phone 2,2025,Скотт Дерриксон,10702679,film,dislike,watched,4,07/18/2025
Маленькая мама,Petite maman,2021,Селин Сьямма,2641267,film,dislike,watched,4,07/18/2025
"Рука, качающая колыбель",The Hand That Rocks the Cradle,2025,Мишель Гарса Сервера,11768165,film,dislike,watched,4,07/18/2025
Долгая прогулка,The Long Walk,2025,Фрэнсис Лоуренс,2572795,film,dislike,watched,4,07/18/2025
Трон: Арес,Tron: Ares,2025,Йоаким Рённинг,589257,film,dislike,watched,4,07/18/2025
Фантастическая четвёрка: Первые шаги,The Fantastic Four: First Steps,2025,Мэтт Шекман,2079894,film,dislike,watched,4,07/18/2025
