title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Яйцеголовые,Coneheads,1993,Стив Бэррон,97150,film,dislike,watched,4,07/18/2025
Обыкновенные люди,Ordinary People,1980,Роберт Редфорд,74996,film,dislike,watched,4,07/18/2025
Крамер против Крамера,Kramer vs. Kramer,1979,Роберт Бентон,73355,film,dislike,watched,4,07/18/2025
"Где моя тачка, чувак?","Dude, Where’s My Car?",2000,Дэнни Лейнер,196700,film,dislike,watched,4,07/18/2025
Операция «Арго»,Argo,2012,Бен Аффлек,417245,film,dislike,watched,4,07/18/2025
Ночные игры,Game Night,2018,Джон Фрэнсис Дейли...,689046,film,dislike,watched,4,07/18/2025
Формула любви для узников брака,Couples Retreat,2009,Питер Биллингсли,425049,film,dislike,watched,4,07/18/2025
Солярис,Solaris,2002,Стивен Содерберг,243571,film,dislike,watched,4,07/18/2025
Мортал Комбат,Mortal Kombat,2021,Саймон Маккуойд,234571,film,dislike,watched,4,07/18/2025
Пастырь,Priest,2011,Скотт Чарльз Стюарт,386048,film,dislike,watched,4,07/18/2025
Непосредственно Каха,,2020,Виктор Шамиров,2346619,film,dislike,watched,4,07/18/2025
Риддик,Riddick,2013,Дэвид Туи,480669,film,dislike,watched,4,07/18/2025
Шазам!,Shazam!,2019,Дэвид Ф. Сандберг,775739,film,dislike,watched,4,07/18/2025
Самый лучший фильм 3-ДЭ,,2011,Кирилл Кузин,561100,film,dislike,watched,4,07/18/2025
Самый лучший фильм 2,,2009,Олег Фомин...,470415,film,dislike,watched,4,07/18/2025
Самый лучший фильм,,2007,Кирилл Кузин,438802,film,dislike,watched,4,07/18/2025
Черепашки-ниндзя 2,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Дэйв Грин,776883,film,dislike,watched,4,07/18/2025
"Дивергент, глава 2: Инсургент",The Divergent Series: Insurgent,2015,Роберт Швентке,703003,film,dislike,watched,4,07/18/2025
Скайлайн,Skyline,2010,Колин Штраус...,513903,film,dislike,watched,4,07/18/2025
Астерикс на Олимпийских играх,Astérix aux jeux olympiques,2008,Фредерик Форестье...,349576,film,dislike,watched,4,07/18/2025
Телекинез,Carrie,2013,Кимберли Пирс,585540,film,dislike,watched,4,07/18/2025
Бегущий в лабиринте: Испытание огнём,Maze Runner: The Scorch Trials,2015,Уэс Болл,1442853,film,dislike,watched,4,07/18/2025
Проклятие монахини,The Nun,2018,Корин Харди,1588863,film,dislike,watched,4,07/18/2025
Сказки на ночь,Bedtime Stories,2008,Адам Шенкман,408751,film,dislike,watched,4,07/18/2025
Супер 8,Super 8,2011,Джей Джей Абрамс,532112,film,dislike,watched,4,07/18/2025
Шаг вперед 4,Step Up Revolution,2012,Скотт Спир,561796,film,dislike,watched,4,07/18/2025
Тихое место 2,A Quiet Place Part II,2020,Джон Красински,1666144,film,dislike,watched,4,07/18/2025
Реальная история Уиннер,Reality,2023,Тина Саттер,10151729,film,dislike,watched,4,07/18/2025
Легион,Legion,2010,Скотт Чарльз Стюарт,418990,film,dislike,watched,4,07/18/2025
Чужие против Хищника: Реквием,AVPR: Aliens vs Predator – Requiem,2007,Колин Штраус...,373630,film,dislike,watched,4,07/18/2025
В спорте только девушки,,2014,Евгений Невский,731970,film,dislike,watched,4,07/18/2025
Ирония судьбы. Продолжение,,2007,Тимур Бекмамбетов,412468,film,dislike,watched,4,07/18/2025
Движение вверх,,2017,Антон Мегердичев,1442304,film,dislike,watched,4,07/18/2025
Вторжение,The Invasion,2007,Оливер Хиршбигель,325780,film,dislike,watched,4,07/18/2025
Ветреная река,Wind River,2016,Тейлор Шеридан,1556121,film,dislike,watched,4,07/18/2025
Тревожный вызов,The Call,2013,Брэд Андерсон,581698,film,dislike,watched,4,07/18/2025
Виновный,Den skyldige,2017,Густав Мёллер,1638838,film,dislike,watched,4,07/18/2025
Тебя никогда здесь не было,You Were Never Really Here,2017,Линн Рэмси,1579617,film,dislike,watched,4,07/18/2025
Счастливого дня смерти,Happy Death Day,2017,Кристофер Лэндон,1608737,film,dislike,watched,4,07/18/2025
Эксперимент «За стеклом»,Funhouse,2019,Джейсон Уилльям Ли,1628765,film,dislike,watched,4,07/18/2025
Zомбилэнд: Контрольный выстрел,Zombieland: Double Tap,2019,Рубен Фляйшер,513048,film,dislike,watched,4,07/18/2025
Страшные истории для рассказа в темноте,Scary Stories to Tell in the Dark,2019,Андре Эвредал,752730,film,dislike,watched,4,07/18/2025
"Красивый, плохой, злой","Extremely Wicked, Shockingly Evil and Vile",2018,Джо Берлингер,672357,film,dislike,watched,4,07/18/2025
Другой мир: Восстание ликанов,Underworld: Rise of the Lycans,2008,Патрик Татопулос,388786,film,dislike,watched,4,07/18/2025
Девушка в поезде,The Girl on the Train,2016,Тейт Тейлор,1539050,film,dislike,watched,4,07/18/2025
Сторож,,2019,Юрий Быков,2013263,film,dislike,watched,4,07/18/2025
Малавита,The Family,2013,Люк Бессон,665644,film,dislike,watched,4,07/18/2025
Джуманджи: Новый уровень,Jumanji: The Next Level,2019,Джейк Кэздан,1659243,film,dislike,watched,4,07/18/2025
Небоскрёб,Skyscraper,2018,Роусон Маршалл Тёрбер,1607660,film,dislike,watched,4,07/18/2025
Спасатели Малибу,Baywatch,2017,Сет Гордон,492112,film,dislike,watched,4,07/18/2025
Полтора шпиона,Central Intelligence,2016,Роусон Маршалл Тёрбер,496125,film,dislike,watched,4,07/18/2025
Геракл,Hercules,2014,Бретт Ратнер,452950,film,dislike,watched,4,07/18/2025
Кровью и потом: Анаболики,Pain & Gain,2013,Майкл Бэй,592494,film,dislike,watched,4,07/18/2025
Ведьмина гора,Race to Witch Mountain,2009,Энди Фикмен,424680,film,dislike,watched,4,07/18/2025
Зубная фея,Tooth Fairy,2009,Майкл Лембек,382264,film,dislike,watched,4,07/18/2025
