title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Проклятый дом,The Witch in the Window,2018,Энди Миттон,1592491,film,dislike,watched,4,07/18/2025
Эффект Лазаря,The Lazarus Effect,2015,Дэвид Гелб,703800,film,dislike,watched,4,07/18/2025
Красная точка,Red Dot,2021,Ален Дарборг,2432189,film,dislike,watched,4,07/18/2025
Пять ночей с Фредди,Five Nights at Freddy’s,2023,Эмма Тамми,1534098,film,dislike,watched,4,07/18/2025
День благодарения,Thanksgiving,2023,Элай Рот,488663,film,dislike,watched,4,07/18/2025
Милая,Sweetheart,2019,Джастин Диллард,1616858,film,dislike,watched,4,07/18/2025
Тишина,Hush,2016,Майк Флэнаган,1537475,film,dislike,watched,4,07/18/2025
Не дыши 2,Don’t Breathe 2,2021,Родольфо Саягес,1609145,film,dislike,watched,4,07/18/2025
Синистер,Sinister,2012,Скотт Дерриксон,583097,film,dislike,watched,4,07/18/2025
Кровавый Санта,Sint,2010,Дик Мас,436867,film,dislike,watched,4,07/18/2025
Злой дух,Pyewacket,2017,Адам Макдональд,1601678,film,dislike,watched,4,07/18/2025
Тёмное зеркало,Look Away,2017,Асаф Бернштейн,1609174,film,dislike,watched,4,07/18/2025
Женщина в черном 2: Ангел смерти,The Woman in Black 2: Angel of Death,2015,Том Харпер,654064,film,dislike,watched,4,07/18/2025
Инкарнация,Incarnate,2016,Брэд Пейтон,724382,film,dislike,watched,4,07/18/2025
Тетрадь смерти,Death Note,2017,Адам Вингард,449273,film,dislike,watched,4,07/18/2025
Врата тьмы,Pay the Ghost,2015,Ули Эдель,775940,film,dislike,watched,4,07/18/2025
М3ГАН,M3GAN,2022,Джерард Джонстоун,2482985,film,dislike,watched,4,07/18/2025
Украденный аккаунт,Cam,2018,Дэниэл Голдхабер,1667605,film,dislike,watched,4,07/18/2025
Забери мою душу,My Soul to Take,2010,Уэс Крэйвен,396258,film,dislike,watched,4,07/18/2025
Дом у дороги,Road House,2024,Даг Лайман,752543,film,dislike,watched,4,07/18/2025
Дом у дороги,Road House,1989,Роуди Херрингтон,89904,film,dislike,watched,4,07/18/2025
Пчеловод,The Beekeeper,2024,Дэвид Эйр,2816102,film,dislike,watched,4,07/18/2025
Бой с тенью,,2005,Алексей Сидоров,317775,film,dislike,watched,4,07/18/2025
Стиляги,,2008,Валерий Тодоровский,449067,film,dislike,watched,4,07/18/2025
Так себе каникулы,Old Dogs,2009,Уолт Бекер,411027,film,dislike,watched,4,07/18/2025
Тарас Бульба,,2009,Владимир Бортко,449332,film,dislike,watched,4,07/18/2025
Чёрная Молния,,2009,Александр Войтинский...,515038,film,dislike,watched,4,07/18/2025
Сумерки. Сага. Новолуние,The Twilight Saga: New Moon,2009,Крис Вайц,451620,film,dislike,watched,4,07/18/2025
Наша Russia: Яйца судьбы,,2010,Глеб Орлов...,515103,film,dislike,watched,4,07/18/2025
Ёлки,,2010,Тимур Бекмамбетов...,558083,film,dislike,watched,4,07/18/2025
Сумерки. Сага. Затмение,The Twilight Saga: Eclipse,2010,Дэвид Слэйд,461497,film,dislike,watched,4,07/18/2025
Такие разные близнецы,Jack and Jill,2011,Деннис Дуган,382922,film,dislike,watched,4,07/18/2025
Ёлки 2,,2011,Дмитрий Киселёв...,618005,film,dislike,watched,4,07/18/2025
Война Богов: Бессмертные,Immortals,2011,Тарсем Сингх,450948,film,dislike,watched,4,07/18/2025
Как украсть небоскреб,Tower Heist,2011,Бретт Ратнер,354348,film,dislike,watched,4,07/18/2025
Зелёный Шершень,The Green Hornet,2011,Мишель Гондри,413026,film,dislike,watched,4,07/18/2025
Я – Четвертый,I Am Number Four,2011,Ди Джей Карузо,491306,film,dislike,watched,4,07/18/2025
Очень плохая училка,Bad Teacher,2011,Джейк Кэздан,455321,film,dislike,watched,4,07/18/2025
Сумерки. Сага. Рассвет: Часть 1,The Twilight Saga: Breaking Dawn – Part 1,2011,Билл Кондон,461495,film,dislike,watched,4,07/18/2025
Астерикс и Обеликс в Британии,Astérix & Obélix : Au service de sa Majesté,2012,Лоран Тирар,521214,film,dislike,watched,4,07/18/2025
Паранормальное явление 4,Paranormal Activity 4,2012,Генри Джуст...,615466,film,dislike,watched,4,07/18/2025
Три метра над уровнем неба: Я тебя хочу,Tengo ganas de ti,2012,Фернандо Гонзалез Молина,561276,film,dislike,watched,4,07/18/2025
Папа-досвидос,That’s My Boy,2012,Шон Андерс,447821,film,dislike,watched,4,07/18/2025
Гнев титанов,Wrath of the Titans,2012,Джонатан Либесман,531382,film,dislike,watched,4,07/18/2025
Сумерки. Сага. Рассвет: Часть 2,The Twilight Saga: Breaking Dawn – Part 2,2012,Билл Кондон,536943,film,dislike,watched,4,07/18/2025
Ёлки 3,,2013,Ольга Харина...,718351,film,dislike,watched,4,07/18/2025
Va-банк,Runner Runner,2013,Брэд Фурман,658367,film,dislike,watched,4,07/18/2025
Мама,Mama,2013,Андрес Мускетти,600488,film,dislike,watched,4,07/18/2025
После нашей эры,After Earth,2013,М. Найт Шьямалан,564780,film,dislike,watched,4,07/18/2025
300 спартанцев: Расцвет империи,300: Rise of an Empire,2013,Ноам Мурро,450947,film,dislike,watched,4,07/18/2025
Мальчишник: Часть III,The Hangover Part III,2013,Тодд Филлипс,587679,film,dislike,watched,4,07/18/2025
Домашнее видео,Sex Tape,2014,Джейк Кэздан,588525,film,dislike,watched,4,07/18/2025
Годзилла,Godzilla,2014,Гарет Эдвардс,388223,film,dislike,watched,4,07/18/2025
Дивергент,Divergent,2014,Нил Бёргер,570301,film,dislike,watched,4,07/18/2025
Малефисента,Maleficent,2014,Роберт Стромберг,518965,film,dislike,watched,4,07/18/2025
Викинг,,2015,Андрей Кравчук,731449,film,dislike,watched,4,07/18/2025
Астрал: Глава 3,Insidious: Chapter 3,2015,Ли Уоннелл,723190,film,dislike,watched,4,07/18/2025
Фантастическая четверка,Fantastic Four,2015,Джош Транк,498393,film,dislike,watched,4,07/18/2025
"Дивергент, глава 3: За стеной",The Divergent Series: Allegiant,2016,Роберт Швентке,753307,film,dislike,watched,4,07/18/2025
Охотники за привидениями,Ghostbusters,2016,Пол Фиг,456049,film,dislike,watched,4,07/18/2025
Кредо убийцы,Assassin’s Creed,2016,Джастин Курзель,612647,film,dislike,watched,4,07/18/2025
Ёлки новые,,2017,Жора Крыжовников...,1622499,film,dislike,watched,4,07/18/2025
Бабушка лёгкого поведения,,2017,Марюс Вайсберг,1578767,film,dislike,watched,4,07/18/2025
Крым,,2017,Алексей Пиманов,1582016,film,dislike,watched,4,07/18/2025
На пятьдесят оттенков темнее,Fifty Shades Darker,2017,Джеймс Фоули,1442928,film,dislike,watched,4,07/18/2025
Притяжение,,2017,Фёдор Бондарчук,775617,film,dislike,watched,4,07/18/2025
Трансформеры: Последний рыцарь,Transformers: The Last Knight,2017,Майкл Бэй,746989,film,dislike,watched,4,07/18/2025
Хроники хищных городов,Mortal Engines,2018,Кристиан Риверс,515556,film,dislike,watched,4,07/18/2025
Полицейский с Рублевки: Новогодний беспредел 2,,2019,Илья Куликов,2043073,film,dislike,watched,4,07/18/2025
Проклятие Аннабель 3,Annabelle Comes Home,2019,Гари Доберман,1664611,film,dislike,watched,4,07/18/2025
Чернобыль,,2020,Данила Козловский,2036906,film,dislike,watched,4,07/18/2025
Веном 2,Venom: Let There Be Carnage,2021,Энди Серкис,2041895,film,dislike,watched,4,07/18/2025
Шаг вперёд: Всё или ничего,Step Up All In,2014,Триш Си,683803,film,dislike,watched,4,07/18/2025
Создатель,The Creator,2023,Гарет Эдвардс,2793086,film,dislike,watched,4,07/18/2025
Мэгги Мур(ы),Maggie Moore(s),2022,Джон Слэттери,2727573,film,dislike,watched,4,07/18/2025
Пока мы молоды,While We’re Young,2014,Ноа Баумбах,560236,film,dislike,watched,4,07/18/2025
Призраки в Венеции,A Haunting in Venice,2023,Кеннет Брана,9940418,film,dislike,watched,4,07/18/2025
Ода радости,Ode to Joy,2019,Джейсон Уайнер,710841,film,dislike,watched,4,07/18/2025
Клык,Muzzle,2023,Джон Сталберг,8484926,film,dislike,watched,4,07/18/2025
"Два, три, демон, приди!",Talk to Me,2022,Дэнни Филиппу...,2155353,film,dislike,watched,4,07/18/2025
Солнце моё,Aftersun,2022,Шарлотта Уэллс,9167854,film,dislike,watched,4,07/18/2025
Угловой офис,Corner Office,2022,Йоахим Бак,2702445,film,dislike,watched,4,07/18/2025
Без обид,No Hard Feelings,2023,Джин Ступницки,2893735,film,dislike,watched,4,07/18/2025
Ужас Истфилда: Первое изгнание,Godless: The Eastfield Exorcism,2023,Ник Козакис,2924772,film,dislike,watched,4,07/18/2025
Зловещие мертвецы: Черная книга,Evil Dead,2013,Феде Альварес,455972,film,dislike,watched,4,07/18/2025
Не стучи,Koputus,2022,Йонас Паюнен...,2459039,film,dislike,watched,4,07/18/2025
Взаперти,Run,2020,Аниш Чаганти,1684499,film,dislike,watched,4,07/18/2025
Схватка с Дьяволом,Sympathy for the Devil,2023,Юваль Адлер,9859788,film,dislike,watched,4,07/18/2025
Антебеллум,Antebellum,2020,Джерард Буш...,2050129,film,dislike,watched,4,07/18/2025
Ключ от всех дверей,The Skeleton Key,2005,Иэн Софтли,306559,film,dislike,watched,4,07/18/2025
Дом восковых фигур,House of Wax,2005,Жауме Кольет-Серра,306540,film,dislike,watched,4,07/18/2025
Голоса с того света,Morto Não Fala,2018,Деннисон Рамалью,1663505,film,dislike,watched,4,07/18/2025
Поезд в Пусан,Busanhaeng,2016,Ён Сан-хо,1574961,film,dislike,watched,4,07/18/2025
Ведьма,The Witch,2015,Роберт Эггерс,1508320,film,dislike,watched,4,07/18/2025
Клаустрофобы: Квест с того света,Play Dead,2022,Патрик Люссье,9473444,film,dislike,watched,4,07/18/2025
Новизна,Newness,2017,Дрейк Доримус,1606682,film,dislike,watched,4,07/18/2025
Игра в прятки,Hide and Seek,2005,Джон Полсон,297714,film,dislike,watched,4,07/18/2025
"Никогда, редко, иногда, всегда",Never Rarely Sometimes Always,2020,Элайза Хиттман,2034417,film,dislike,watched,4,07/18/2025
Не оставляй следов,Leave No Trace,2018,Дебра Граник,1608940,film,dislike,watched,4,07/18/2025
